,1713 TT Equity
,GHG_SCOPE_1
2012-12-31,3.514
2013-12-31,3.25
2014-12-31,4.187
2015-12-31,4.234
2016-12-31,4.275
2017-12-31,3.814
2018-12-31,4.145
2019-12-31,4.127
2020-12-31,4.18
2021-12-31,4.464
