,PTTGC TB Equity
,GHG_SCOPE_1
2012-12-31,4602.3
2013-12-31,5660.0
2014-12-31,5680.0
2015-12-31,5800.0
2016-12-31,5460.0
2017-12-31,5770.0
2018-12-31,5916.43
2019-12-31,5810.0
2020-12-31,5880.0
2021-12-31,6737.6
