,992 HK Equity
,GHG_SCOPE_1
2011-03-31,2.183
2012-03-31,3.109
2013-03-31,11.591
2014-03-31,13.507
2015-03-31,8.996
2016-03-31,7.068
2017-03-31,8.294
2018-03-31,6.371
2019-03-31,6.031
2020-03-31,7.766
2021-03-31,7.269
2022-03-31,6.069
