,5201 JP Equity
,GHG_SCOPE_1
2013-12-31,5270.0
2014-12-31,5320.0
2015-12-31,4930.0
2016-12-31,5290.0
2017-12-31,5073.0
2018-12-31,5332.0
2019-12-31,6081.0
2020-12-31,6595.0
2021-12-31,6986.0
