,AOT TB Equity
,GHG_SCOPE_1
2011-09-30,1.97
2012-09-30,1.944
2013-09-30,2.451
2014-09-30,2.596
2015-09-30,2.506
2016-09-30,2.495
2017-09-30,2.755
2018-09-30,2.671
2019-09-30,2.188
2020-09-30,3.202
2021-09-30,2.499
