,AC PM Equity
,GHG_SCOPE_1
2012-12-31,42.518
2013-12-31,50.632
2014-12-31,70.455
2015-12-31,720.732
2016-12-31,1730.44
2017-12-31,2183.23
2018-12-31,7022.32
2019-12-31,5588.04
2020-12-31,2966.85
2021-12-31,4850.19
