,CSAP PA Equity
,GHG_SCOPE_1
2013-06-30,5.639
2014-06-30,4.727
2015-06-30,2.994
2016-06-30,3.198
2017-06-30,13.752
2018-06-30,2.015
2019-06-30,1.73
2020-06-30,1.238
2021-06-30,0.896
