,138930 KS Equity
,GHG_SCOPE_1
2011-12-31,0.498
2012-12-31,0.629
2013-12-31,0.621
2014-12-31,1.694
2015-12-31,5.343
2016-12-31,5.214
2017-12-31,4.337
2018-12-31,4.827
2019-12-31,4.698
2020-12-31,3.672
2021-12-31,4.328
