,19 HK Equity
,GHG_SCOPE_1
2011-12-31,16396.801
2012-12-31,16280.5
2013-12-31,16079.8
2014-12-31,17065.1
2015-12-31,17740.0
2016-12-31,17938.0
2017-12-31,18454.0
2018-12-31,18659.0
2019-12-31,18668.0
2020-12-31,7774.0
2021-12-31,171.5
