,BAB MK Equity
,GHG_SCOPE_1
2012-12-31,472.0
2013-12-31,529.0
2015-12-31,540.0
2016-12-31,497.0
2017-12-31,486.0
2018-12-31,595.8
2019-12-31,790.9
2020-12-31,766.4
2021-12-31,706.5
