,WBC AU Equity
,GHG_SCOPE_1
2011-09-30,9.162
2012-09-30,12.134
2013-09-30,10.708
2014-09-30,11.309
2015-09-30,10.83
2016-09-30,11.102
2017-09-30,9.274
2018-09-30,9.824
2019-09-30,9.26
2020-09-30,7.594
2021-09-30,7.851
2022-09-30,7.297
