,003670 KS Equity
,GHG_SCOPE_1
2011-12-31,2111.37
2012-12-31,2194.31
2013-12-31,2017.3
2014-12-31,2017.0
2015-12-31,2136.0
2016-12-31,2221.0
2017-12-31,2166.0
2018-12-31,2269.0
2019-12-31,2262.0
2020-12-31,2059.0
2021-12-31,2174.3
