,4307 JP Equity
,GHG_SCOPE_1
2011-03-31,7.0
2012-03-31,8.0
2013-03-31,7.0
2014-03-31,7.0
2015-03-31,1.2
2016-03-31,1.0
2017-03-31,1.0
2018-03-31,1.0
2019-03-31,1.0
2020-03-31,1.0
2021-03-31,1.0
