,ONGC IN Equity
,GHG_SCOPE_1
2011-03-31,8115.68
2012-03-31,9210.0
2013-03-31,8590.0
2014-03-31,16592.0
2015-03-31,16840.0
2016-03-31,17110.0
2017-03-31,22710.0
2018-03-31,26790.0
2019-03-31,27270.0
2020-03-31,18195.0
2021-03-31,9154.94
2022-03-31,8920.0
