,BSL AU Equity
,GHG_SCOPE_1
2011-06-30,13390.0
2012-06-30,9480.0
2013-06-30,8095.0
2014-06-30,7747.32
2015-06-30,7719.0
2016-06-30,8145.0
2017-06-30,8627.0
2018-06-30,8775.0
2019-06-30,8590.0
2020-06-30,8530.0
2021-06-30,8800.0
2022-06-30,8640.0
