,MLIFE IN Equity
,GHG_SCOPE_1
2012-03-31,1.209
2013-03-31,1.219
2014-03-31,2.83
2015-03-31,2.582
2016-03-31,1.753
2017-03-31,1.608
2018-03-31,1.041
2019-03-31,0.155
2020-03-31,0.397
2021-03-31,0.341
2022-03-31,0.303
