,CWY AU Equity
,GHG_SCOPE_1
2012-06-30,931.639
2013-06-30,631.497
2014-06-30,559.304
2015-06-30,323.845
2018-06-30,712.0
2019-06-30,779.0
2020-06-30,755.4
2021-06-30,859.486
2022-06-30,1162.0
