,9613 JP Equity
,GHG_SCOPE_1
2011-03-31,5.0
2012-03-31,6.0
2013-03-31,6.0
2014-03-31,8.763
2015-03-31,5.693
2016-03-31,4.938
2017-03-31,8.69
2018-03-31,6.948
2019-03-31,5.746
2020-03-31,9.057
2021-03-31,7.241
2022-03-31,9.613
