,3 HK Equity
,GHG_SCOPE_1
2012-12-31,797.0
2013-12-31,804.0
2014-12-31,728.0
2015-12-31,927.0
2016-12-31,859.0
2017-12-31,851.0
2018-12-31,807.0
2019-12-31,843.0
2020-12-31,818.0
2021-12-31,893.0
