,IRPC TB Equity
,GHG_SCOPE_1
2012-12-31,3424.0
2013-12-31,3393.0
2014-12-31,3121.0
2015-12-31,3223.0
2016-12-31,3469.0
2017-12-31,3681.0
2018-12-31,3953.0
2019-12-31,3911.0
2020-12-31,3712.0
2021-12-31,4405.0
