,6645 JP Equity
,GHG_SCOPE_1
2014-03-31,48.457
2015-03-31,62.636
2016-03-31,71.12
2017-03-31,69.446
2018-03-31,65.0
2019-03-31,43.826
2020-03-31,34.394
2021-03-31,20.047
2022-03-31,13.749
