,NAB AU Equity
,GHG_SCOPE_1
2011-09-30,25.551
2012-09-30,25.363
2013-09-30,20.848
2014-09-30,23.481
2015-09-30,23.052
2016-09-30,18.373
2017-09-30,19.376
2018-09-30,19.209
2019-09-30,19.207
2020-09-30,16.579
2021-09-30,10.821
2022-09-30,6.619
