,CCS SL Equity
,GHG_SCOPE_1
2013-03-31,3.398
2014-03-31,3.088
2015-03-31,1.249
2016-03-31,1.359
2017-03-31,2.118
2018-03-31,2.502
2019-03-31,3.017
2021-03-31,4.73
2022-03-31,4.523
