,3189 TT Equity
,GHG_SCOPE_1
2012-12-31,25.481
2013-12-31,24.834
2014-12-31,27.542
2015-12-31,31.927
2016-12-31,8.252
2017-12-31,11.192
2018-12-31,6.853
2019-12-31,13.441
2020-12-31,18.535
2021-12-31,16.294
