,JKCE IN Equity
,GHG_SCOPE_1
2014-03-31,4302.21
2015-03-31,2258.28
2016-03-31,2049.68
2017-03-31,1654.93
2018-03-31,2158.28
2019-03-31,2290.58
2020-03-31,2419.98
2021-03-31,7206.97
2022-03-31,7784.31
