,021240 KS Equity
,GHG_SCOPE_1
2011-12-31,0.368
2012-12-31,0.338
2013-12-31,0.256
2014-12-31,0.196
2015-12-31,0.391
2016-12-31,0.401
2017-12-31,0.63
2018-12-31,0.676
2019-12-31,0.64
2020-12-31,0.601
2021-12-31,0.877
