,8630 JP Equity
,GHG_SCOPE_1
2011-03-31,16.172
2012-03-31,21.562
2013-03-31,20.28
2014-03-31,21.823
2015-03-31,16.077
2016-03-31,18.558
2017-03-31,17.881
2018-03-31,21.164
2019-03-31,21.968
2020-03-31,18.645
2021-03-31,23.608
2022-03-31,26.663
