,005490 KS Equity
,GHG_SCOPE_1
2013-12-31,84111.0
2014-12-31,84413.0
2015-12-31,82741.0
2016-12-31,81309.797
2017-12-31,81282.602
2018-12-31,83701.0
2019-12-31,86640.5
2020-12-31,88837.5
2021-12-31,84430.203
