,AZJ AU Equity
,GHG_SCOPE_1
2012-06-30,676.769
2013-06-30,755.0
2014-06-30,765.0
2015-06-30,693.0
2016-06-30,657.0
2018-06-30,578.617
2019-06-30,482.79
2020-06-30,509.775
2021-06-30,513.755
2022-06-30,506.806
