,GAIL IN Equity
,GHG_SCOPE_1
2011-03-31,2620.81
2012-03-31,2747.26
2013-03-31,2381.81
2014-03-31,2285.2
2015-03-31,2252.65
2016-03-31,2549.02
2017-03-31,2950.69
2018-03-31,2928.78
2019-03-31,3424.27
2020-03-31,3956.93
2021-03-31,3281.06
