,QAN AU Equity
,GHG_SCOPE_1
2012-06-30,12534.0
2013-06-30,12422.7
2014-06-30,11520.4
2015-06-30,11707.3
2016-06-30,12070.5
2017-06-30,12248.2
2018-06-30,12392.2
2019-06-30,12285.4
2020-06-30,9276.62
2021-06-30,3211.88
2022-06-30,4734.41
