,RIL IN Equity
,GHG_SCOPE_1
2011-03-31,24329.699
2012-03-31,25309.699
2013-03-31,25637.801
2014-03-31,25746.9
2015-03-31,24941.699
2016-03-31,26278.699
2018-03-31,31637.9
2019-03-31,29690.0
2020-03-31,47500.0
2021-03-31,44670.0
2022-03-31,43960.0
