,2912 TT Equity
,GHG_SCOPE_1
2013-12-31,93.887
2014-12-31,112.444
2015-12-31,121.44
2016-12-31,117.553
2017-12-31,119.389
2018-12-31,137.58
2019-12-31,30.703
2020-12-31,30.911
2021-12-31,31.253
