,4452 JP Equity
,GHG_SCOPE_1
2012-03-31,666.0
2013-12-31,629.0
2014-12-31,657.0
2015-12-31,667.0
2016-12-31,649.0
2017-12-31,653.0
2018-12-31,652.0
2019-12-31,644.0
2020-12-31,616.0
2021-12-31,605.0
