,4063 JP Equity
,GHG_SCOPE_1
2013-03-31,1525.0
2014-03-31,1355.0
2015-03-31,1553.0
2016-03-31,1593.0
2017-03-31,1650.0
2018-03-31,1734.0
2019-03-31,1696.0
2020-03-31,1789.0
2021-03-31,1831.0
2022-03-31,2077.0
