,RATCH TB Equity
,GHG_SCOPE_1
2012-12-31,12620.1
2013-12-31,10598.8
2014-12-31,10767.4
2015-12-31,13338.8
2016-12-31,14108.5
2017-12-31,8093.09
2018-12-31,6935.75
2019-12-31,5875.29
2020-12-31,6261.3
2021-12-31,6437.04
