,TECHM IN Equity
,GHG_SCOPE_1
2012-03-31,8.473
2013-03-31,13.661
2014-03-31,11.068
2015-03-31,10.839
2016-03-31,6.257
2017-03-31,3.263
2018-03-31,2.787
2019-03-31,2.561
2020-03-31,1.804
2021-03-31,7.93
2022-03-31,8.996
