,036460 KS Equity
,GHG_SCOPE_1
2011-12-31,305.215
2012-12-31,308.957
2013-12-31,329.511
2014-12-31,245.954
2015-12-31,456.413
2016-12-31,469.308
2017-12-31,263.068
2018-12-31,663.206
2019-12-31,287.68
2020-12-31,206.51
2021-12-31,279.215
