,FRE NZ Equity
,GHG_SCOPE_1
2014-06-30,18.195
2015-06-30,17.45
2016-06-30,15.176
2017-06-30,5.356
2018-06-30,3.734
2019-06-30,3.912
2020-06-30,3.884
2021-06-30,3.68
2022-06-30,9.867
