,66 HK Equity
,GHG_SCOPE_1
2011-12-31,39.543
2012-12-31,54.585
2013-12-31,52.92
2014-12-31,58.342
2015-12-31,52.795
2016-12-31,53.717
2017-12-31,55.143
2018-12-31,50.46
2019-12-31,52.672
2020-12-31,47.239
2021-12-31,48.005
