,1911 JP Equity
,GHG_SCOPE_1
2011-03-31,51.107
2012-03-31,52.389
2013-03-31,56.324
2014-03-31,54.726
2015-03-31,45.486
2016-03-31,49.0
2017-03-31,185.0
2018-03-31,250.0
2019-03-31,264.0
2020-03-31,265.0
2021-12-31,370.772
