,2331 TT Equity
,GHG_SCOPE_1
2013-12-31,1.425
2014-12-31,1.419
2015-12-31,1.55
2016-12-31,0.551
2017-12-31,0.327
2018-12-31,0.364
2019-12-31,0.285
2020-12-31,0.212
2021-12-31,0.211
