,139130 KS Equity
,GHG_SCOPE_1
2011-12-31,3.196
2012-12-31,2.662
2013-12-31,2.095
2014-12-31,3.069
2015-12-31,2.77
2016-12-31,2.684
2017-12-31,2.674
2018-12-31,2.625
2019-12-31,3.835
2020-12-31,3.579
2021-12-31,3.174
