,055550 KS Equity
,GHG_SCOPE_1
2011-12-31,20.04
2012-12-31,18.284
2013-12-31,17.647
2014-12-31,17.612
2015-12-31,17.098
2016-12-31,16.732
2017-12-31,16.733
2018-12-31,15.699
2019-12-31,14.087
2020-12-31,13.797
2021-12-31,15.088
