,DXS AU Equity
,GHG_SCOPE_1
2011-06-30,8.675
2012-06-30,7.882
2013-06-30,9.159
2014-06-30,10.781
2015-06-30,15.021
2016-06-30,17.043
2017-06-30,19.856
2018-06-30,18.946
2019-06-30,17.596
2020-06-30,17.212
2021-06-30,16.361
2022-06-30,12.828
