,IVL TB Equity
,GHG_SCOPE_1
2012-12-31,1539.43
2013-12-31,1968.37
2014-12-31,2087.53
2015-12-31,2226.18
2016-12-31,3236.69
2017-12-31,3538.72
2018-12-31,3688.97
2019-12-31,4744.75
2020-12-31,7035.99
2021-12-31,7247.67
