,005380 KS Equity
,GHG_SCOPE_1
2011-12-31,821.374
2012-12-31,872.569
2013-12-31,842.635
2014-12-31,839.209
2015-12-31,816.952
2016-12-31,806.933
2017-12-31,805.105
2018-12-31,831.18
2019-12-31,808.139
2020-12-31,716.237
2021-12-31,723.966
