,032640 KS Equity
,GHG_SCOPE_1
2011-12-31,9.219
2012-12-31,8.153
2013-12-31,6.844
2014-12-31,5.837
2015-12-31,6.714
2016-12-31,5.355
2017-12-31,4.077
2018-12-31,5.147
2019-12-31,7.997
2020-12-31,8.259
2021-12-31,7.579
