,AGL AU Equity
,GHG_SCOPE_1
2011-06-30,1545.0
2012-06-30,1554.0
2013-06-30,20236.0
2014-06-30,19622.0
2015-06-30,38346.0
2016-06-30,43259.0
2017-06-30,43442.0
2018-06-30,43097.0
2019-06-30,42727.0
2020-06-30,42227.0
2021-06-30,40209.0
2022-06-30,39513.0
