,SHL AU Equity
,GHG_SCOPE_1
2011-06-30,6.646
2012-06-30,8.114
2013-06-30,8.285
2014-06-30,8.158
2018-06-30,8.223
2019-06-30,8.38
2020-06-30,8.45
2021-06-30,8.716
2022-06-30,6.986
