,8591 JP Equity
,GHG_SCOPE_1
2013-03-31,287.405
2014-03-31,236.214
2015-03-31,236.954
2016-03-31,235.78
2017-03-31,225.599
2018-03-31,235.249
2019-03-31,907.345
2020-03-31,1138.57
2021-03-31,987.771
2022-03-31,1044.89
