,IAG AU Equity
,GHG_SCOPE_1
2013-06-30,9.253
2014-06-30,9.181
2015-06-30,10.6
2016-06-30,9.981
2017-06-30,12.368
2018-06-30,11.46
2019-06-30,8.357
2020-06-30,6.716
2021-06-30,5.601
2022-06-30,4.869
