,SGP AU Equity
,GHG_SCOPE_1
2011-06-30,27.459
2012-06-30,26.961
2013-06-30,18.468
2014-06-30,22.102
2015-06-30,26.368
2016-06-30,35.036
2017-06-30,26.884
2018-06-30,25.453
2019-06-30,24.23
2020-06-30,21.028
2021-06-30,22.402
2022-06-30,3.902
