,1721 TT Equity
,GHG_SCOPE_1
2012-12-31,7.943
2013-12-31,8.524
2014-12-31,5.491
2015-12-31,4.86
2016-12-31,15.674
2017-12-31,15.891
2018-12-31,13.006
2019-12-31,11.384
2020-12-31,11.634
2021-12-31,17.529
