,SFR AU Equity
,GHG_SCOPE_1
2013-06-30,65.994
2014-06-30,73.133
2015-06-30,76.641
2016-06-30,86.495
2017-06-30,83.167
2018-06-30,84.902
2019-06-30,89.053
2020-06-30,97.426
2021-06-30,86.344
2022-06-30,96.835
