,SMCB IJ Equity
,GHG_SCOPE_1
2011-12-31,5395.61
2012-12-31,5439.63
2013-12-31,5438.0
2014-12-31,5610.86
2015-12-31,6209.65
2016-12-31,7057.25
2017-12-31,7365.07
2018-12-31,7359.12
2019-12-31,7749.81
2020-12-31,7419.17
2021-12-31,7318.6
