,5101 JP Equity
,GHG_SCOPE_1
2013-12-31,328.0
2014-12-31,334.0
2015-12-31,326.0
2016-12-31,342.0
2017-12-31,363.0
2018-12-31,371.0
2019-12-31,583.0
2020-12-31,535.0
2021-12-31,613.0
