,TTCH IN Equity
,GHG_SCOPE_1
2011-03-31,4567.64
2012-03-31,4619.71
2013-03-31,4716.99
2014-03-31,4995.11
2015-03-31,4970.04
2016-03-31,3035.98
2017-03-31,4838.82
2021-03-31,6210.08
2022-03-31,2295.43
