,T MK Equity
,GHG_SCOPE_1
2011-12-31,21.063
2012-12-31,20.83
2013-12-31,19.453
2014-12-31,14.358
2015-12-31,17.97
2016-12-31,22.67
2017-12-31,20.727
2018-12-31,14.452
2019-12-31,13.391
2020-12-31,11.531
2021-12-31,10.997
