,601231 CH Equity
,GHG_SCOPE_1
2011-12-31,4.562
2012-12-31,5.302
2013-12-31,9.616
2014-12-31,4.962
2015-12-31,7.794
2016-12-31,8.057
2017-12-31,7.843
2018-12-31,6.837
2019-12-31,8.439
2020-12-31,6.748
