,002380 KS Equity
,GHG_SCOPE_1
2012-12-31,797.507
2013-12-31,842.863
2014-12-31,931.081
2015-12-31,1097.24
2016-12-31,1155.92
2017-12-31,1167.75
2018-12-31,1175.2
2019-12-31,297.803
2020-12-31,279.725
