,TCL AU Equity
,GHG_SCOPE_1
2011-06-30,0.161
2012-06-30,0.143
2013-06-30,0.147
2014-06-30,0.149
2015-06-30,1.949
2016-06-30,2.02
2017-06-30,3.19
2018-06-30,4.189
2019-06-30,3.54
2020-06-30,4.391
2021-06-30,4.748
2022-06-30,5.046
