,1232 TT Equity
,GHG_SCOPE_1
2012-12-31,6.346
2013-12-31,8.022
2014-12-31,10.382
2015-12-31,10.208
2016-12-31,8.712
2017-12-31,12.155
2018-12-31,9.508
2019-12-31,7.311
2020-12-31,6.544
2021-12-31,4.078
