,6502 JP Equity
,GHG_SCOPE_1
2012-03-31,820.0
2013-03-31,760.0
2014-03-31,780.0
2015-03-31,750.0
2016-03-31,890.0
2017-03-31,840.0
2018-03-31,330.0
2019-03-31,340.0
2020-03-31,320.0
2021-03-31,280.0
